"","bnum","react_id","all_r_per_g_homo","name","organism","reversible","direction"
"1","b0003","HSK",TRUE,"thrB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"6","b0009","MPTAT",TRUE,"mog","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"7","b0019","NAt3_2pp",TRUE,"nhaA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"10","b0026","ILETRS",TRUE,"ileS","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"16","b0031","DHDPRy",TRUE,"dapB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"29","b0062","ARAI",TRUE,"araA","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"291","b0062","ARAI_b",TRUE,"araA","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"31","b0073","IPMD",TRUE,"leuB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"32","b0074","IPPS",TRUE,"leuA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"33","b0085","UAAGDS",TRUE,"murE","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"34","b0086","UGMDDS",TRUE,"murF","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"35","b0087","PAPPT3",TRUE,"mraY","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"36","b0088","UAMAGS",TRUE,"murD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"37","b0090","UAGPT3",TRUE,"murG","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"38","b0091","UAMAS",TRUE,"murC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"39","b0096","UHGADA",TRUE,"lpxC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"40","b0103","DPCOAK",TRUE,"coaE","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"41","b0104","GMPR",TRUE,"guaC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"42","b0109","NNDPR",TRUE,"nadC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"49","b0120","ADMDC",TRUE,"speD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"54","b0131","ASP1DC",TRUE,"panD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"55","b0133","PANTS",TRUE,"panC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"56","b0134","MOHMT",TRUE,"panB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"57","b0142","HPPK2",TRUE,"folK","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"58","b0154","G1SAT",TRUE,"hemL","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"582","b0154","G1SAT_b",TRUE,"hemL","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"64","b0166","THDPS",TRUE,"dapD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"65","b0173","DXPRIi",TRUE,"dxr","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"66","b0174","UDCPDPS",TRUE,"ispU","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"74","b0179","U23GAAT",TRUE,"lpxD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"77","b0182","LPADSS",TRUE,"lpxB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"78","b0194","PROTRS",TRUE,"proS","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"79","b0200","GMHEPPA",TRUE,"gmhB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"80","b0212","GLYOX",TRUE,"gloB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"89","b0222","S7PI",TRUE,"gmhA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"92","b0242","GLU5K",TRUE,"proB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"93","b0243","G5SD",TRUE,"proA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"94","b0260","MMETt2pp",TRUE,"mmuP","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"97","b0311","CHOLD",TRUE,"betA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"100","b0331","MCITL2",TRUE,"prpB","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"1001","b0331","MCITL2_b",TRUE,"prpB","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"101","b0333","MCITS",TRUE,"prpC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"102","b0334","MCITD",TRUE,"prpD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"103","b0336","CSNt2pp",TRUE,"codB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"104","b0337","CSND",TRUE,"codA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"105","b0340","CYNTAH",TRUE,"cynS","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"106","b0341","CYNTt2pp",TRUE,"cynX","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"107","b0343","LCTStpp",TRUE,"lacY","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"1071","b0343","LCTStpp_b",TRUE,"lacY","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"108","b0344","LACZ",TRUE,"lacZ","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"115","b0350","OP4ENH",TRUE,"mhpD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"116","b0352","HOPNTAL",TRUE,"mhpE","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"121","b0368","TAUDO",TRUE,"tauD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"122","b0369","PPBNGS",TRUE,"hemB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"123","b0383","PPTHpp",TRUE,"phoA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"124","b0386","P5CR",TRUE,"proC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"125","b0394","HEX7",TRUE,"mak","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"149","b0415","RBFSb",TRUE,"ribE","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"150","b0417","TMPK",TRUE,"thiL","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"151","b0420","DXPS",TRUE,"dxs","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"154","b0428","HEMEOS",TRUE,"cyoE","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"158","b0444","CCGS",TRUE,"queC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"159","b0451","NH4tpp",TRUE,"amtB","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"1591","b0451","NH4tpp_b",TRUE,"amtB","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"172","b0469","ADPT",TRUE,"apt","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"178","b0475","FCLT",TRUE,"hemH","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"186","b0484","CU1abcpp",TRUE,"copA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"208","b0505","UGLYCH",TRUE,"allA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"209","b0507","GLXCL",TRUE,"gcl","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"210","b0508","HPYRI",TRUE,"hyi","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"2101","b0508","HPYRI_b",TRUE,"hyi","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"211","b0511","ALLTNt2rpp",TRUE,"ybbW","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"2111","b0511","ALLTNt2rpp_b",TRUE,"ybbW","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"212","b0512","ALLTN",TRUE,"allB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"213","b0514","GLYCK",TRUE,"glxK","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"214","b0516","ALLTAMH",TRUE,"allC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"215","b0517","URDGLYCD",TRUE,"allD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"216","b0522","AIRC2",TRUE,"purK","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"217","b0523","AIRC3",TRUE,"purE","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"2171","b0523","AIRC3_b",TRUE,"purE","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"218","b0524","USHD",TRUE,"lpxH","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"219","b0526","CYSTRS",TRUE,"cysS","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"224","b0583","ENTCS",TRUE,"entD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"227","b0586","SERASr",TRUE,"entF","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"2271","b0586","SERASr_b",TRUE,"entF","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"228","b0591","FEENTERtpp",TRUE,"entS","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"229","b0593","ICHORS_copy2",TRUE,"entC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"230","b0594","DHBS",TRUE,"entE","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"231","b0595","ICHORT",TRUE,"entB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"232","b0596","DHBD",TRUE,"entA","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"2321","b0596","DHBD_b",TRUE,"entA","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"234","b0612","CITt7pp",TRUE,"citT","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"235","b0613","TPRDCOAS",TRUE,"citG","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"238","b0628","LIPOS",TRUE,"lipA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"239","b0630","LIPOCT",TRUE,"lipB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"240","b0638","RZ5PP",TRUE,"cobC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"242","b0642","LEUTRS",TRUE,"leuS","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"243","b0662","OMMBLHX",TRUE,"ubiF","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"244","b0674","ASNS1",TRUE,"asnB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"245","b0677","AGDC",TRUE,"nagA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"246","b0678","G6PDA",TRUE,"nagB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"247","b0680","GLNTRS",TRUE,"glnS","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"249","b0720","CS",TRUE,"gltA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"250","b0732","MANPGH",TRUE,"mngB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"251","b0736","DHNCOAT",TRUE,"ybgC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"252","b0750","QULNS",TRUE,"nadA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"253","b0751","NMNPtpp",TRUE,"pnuC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"254","b0756","GALM2pp",TRUE,"galM","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"255","b0758","UGLT",TRUE,"galT","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"2551","b0758","UGLT_b",TRUE,"galT","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"256","b0759","UDPG4E",TRUE,"galE","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"2561","b0759","UDPG4E_b",TRUE,"galE","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"258","b0767","PGL",TRUE,"pgl","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"259","b0774","AMAOTr",TRUE,"bioA","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"2591","b0774","AMAOTr_b",TRUE,"bioA","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"260","b0775","BTS5",TRUE,"bioB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"261","b0776","AOXSr2",TRUE,"bioF","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"262","b0777","MALCOAMT",TRUE,"bioC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"263","b0778","DBTS",TRUE,"bioD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"269","b0826","MPTSS",TRUE,"moeB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"274","b0871","POX",TRUE,"poxB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"275","b0875","H2Otpp",TRUE,"aqpZ","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"2751","b0875","H2Otpp_b",TRUE,"aqpZ","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"280","b0908","PSCVT",TRUE,"aroA","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"2801","b0908","PSCVT_b",TRUE,"aroA","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"315","b0915","TDSK",TRUE,"lpxK","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"316","b0918","KDOCT2",TRUE,"kdsB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"318","b0930","ASNTRS",TRUE,"asnS","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"319","b0931","NAMNPP",TRUE,"pncB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"328","b0963","MGSA",TRUE,"mgsA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"340","b1006","URAt2pp_copy2",TRUE,"rutG","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"3401","b1006","URAt2pp_copy2_b",TRUE,"rutG","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"341","b1009","3AMACHYD",TRUE,"rutD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"342","b1010","POAACR",TRUE,"rutC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"343","b1011","URACPAH",TRUE,"rutB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"348","b1054","EDTXS1",TRUE,"lpxL","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"351","b1062","DHORTS",TRUE,"pyrC","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"3511","b1062","DHORTS_b",TRUE,"pyrC","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"369","b1096","ADCL",TRUE,"pabC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"370","b1098","DTMPK",TRUE,"tmk","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"3701","b1098","DTMPK_b",TRUE,"tmk","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"371","b1106","TMK",TRUE,"thiK","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"378","b1119","ACGAMK",TRUE,"nagK","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"382","b1136","ICDHyr",TRUE,"icd","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"3821","b1136","ICDHyr_b",TRUE,"icd","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"383","b1186","NAt3_1p5pp",TRUE,"nhaB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"384","b1189","DAAD",TRUE,"dadA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"389","b1197","TREHpp",TRUE,"treA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"390","b1206","SO4t2pp",TRUE,"dauA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"391","b1207","PRPPS",TRUE,"prs","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"3911","b1207","PRPPS_b",TRUE,"prs","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"392","b1208","CDPMEK",TRUE,"ispE","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"393","b1210","GLUTRR",TRUE,"hemA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"394","b1215","KDOPS",TRUE,"kdsA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"396","b1232","FTHFD",TRUE,"purU","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"397","b1236","GALUi",TRUE,"galU","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"405","b1277","GTPCII2",TRUE,"ribA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"420","b1281","OMPDC",TRUE,"pyrF","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"448","b1298","GGGABAH",TRUE,"puuD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"451","b1301","GGPTRCO",TRUE,"puuB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"452","b1308","CYANSTpp",TRUE,"pspE","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"453","b1325","ALAGLUE",TRUE,"ycjG","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"4531","b1325","ALAGLUE_b",TRUE,"ycjG","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"454","b1326","LADGMDH",TRUE,"mpaA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"455","b1385","ALDD19xr",TRUE,"feaB","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"4551","b1385","ALDD19xr_b",TRUE,"feaB","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"459","b1387","OXCOAHDH",TRUE,"paaZ","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"460","b1393","DHACOAH",TRUE,"paaF","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"4601","b1393","DHACOAH_b",TRUE,"paaF","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"462","b1395","HADPCOADH3",TRUE,"paaH","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
